"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time"
"85",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-03-16","fed",29922,"17890","15:30:00"
"86",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-03-16","fed",29926,"26290","15:30:00"
"87",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-03-23","fed",30954,"46200","16:00:00"
"88",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Grip Strength (4 Paw)","2015-03-23","fed",31166,"2710,3280,2770,3150,3090","16:00:00"
"89",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-03-23","fed",31193,"18910","16:00:00"
"90",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-03-23","fed",31194,"26550","16:00:00"
"91",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Body Weight","2015-03-30","fed",31999,"47800","15:30:00"
"92",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Grip Strength (4 Paw)","2015-03-30","fed",32149,"2340,2730,3080,2770,2930","15:30:00"
"93",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Total Fat Mass","2015-03-30","fed",32172,"19740","15:30:00"
"94",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2098,198,7223,"C57BL/6J","Lean Mass","2015-03-30","fed",32173,"27240","15:30:00"
"95",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2014-11-26","fed",19232,"24400",NA
"96",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2014-11-26","fed",19233,"2450",NA
"97",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2014-11-26","fed",19234,"21180",NA
"98",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2014-12-01","fed",19416,"23300",NA
"99",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2014-12-01","fed",19417,"1430",NA
"100",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2014-12-01","fed",19418,"21490",NA
"101",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2014-12-02","fasted",19507,"22600",NA
"102",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2014-12-02","fasted",19508,"1270",NA
"103",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2014-12-02","fasted",19509,"20720",NA
"104",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2014-12-16","fed",20845,"25300",NA
"105",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20846,"2700",NA
"106",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2014-12-16","fed",20847,"22010",NA
"107",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2014-12-30","fed",21249,"28300",NA
"108",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21250,"3490",NA
"109",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2014-12-30","fed",21251,"23600",NA
"110",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-01-13","fed",22811,"31000",NA
"111",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22812,"5520",NA
"112",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-01-13","fed",22813,"24500",NA
"113",127,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-01-27","fed",23930,"32000",NA
"114",127,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-01-27","fed",23962,"6600",NA
"115",127,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-01-27","fed",23992,"24560",NA
"116",141,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-02-10","fed",25299,"33500",NA
"117",141,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-02-10","fed",25330,"7680",NA
"118",141,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-02-10","fed",25334,"24720",NA
"119",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-02-24","fed",27023,"9300",NA
"120",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-02-24","fed",27054,"25570",NA
"121",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-02-24","fed",27180,"35600",NA
"122",155,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Grip Strength (4 Paw)","2015-02-24","fed",27204,"2760,2430,2660,2240,2270",NA
"123",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-03-02","fed",28144,"7300","15:30:00"
"124",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-03-02","fed",28145,"26040","15:30:00"
"125",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-03-02","fed",28205,"34100","15:30:00"
"126",161,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Grip Strength (4 Paw)","2015-03-02","fed",28236,"2600,2500,2890,3170,2730","15:30:00"
"127",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-03-09","fed",28664,"8360",NA
