"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time"
"106",196,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-02-23","fed",26771,"15200","16:00:00",NA
"107",196,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-02-23","fed",26772,"23880","16:00:00",NA
"108",196,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Grip Strength (4 Paw)","2015-02-23","fed",26812,"2810,2630,3000,2630,2700","16:00:00",NA
"109",71,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-10-21","fed",15852,"22800",NA,NA
"110",71,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-10-21","fed",15853,"1380",NA,NA
"111",71,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-10-21","fed",15854,"20860",NA,NA
"112",67,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-10-17","fed",15958,"23900",NA,NA
"113",67,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-10-17","fed",15959,"2100",NA,NA
"114",67,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-10-17","fed",15960,"21260",NA,NA
"115",70,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-10-20","fed",16000,"24100",NA,NA
"116",70,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-10-20","fed",16001,"1400",NA,NA
"117",70,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-10-20","fed",16002,"21650",NA,NA
"118",85,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-11-04","fed",16981,"28300",NA,NA
"119",85,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-11-04","fed",16982,"4850",NA,NA
"120",85,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-11-04","fed",16983,"22590",NA,NA
"121",99,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-11-18","fed",18664,"30500",NA,NA
"122",99,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-11-18","fed",18665,"6420",NA,NA
"123",99,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-11-18","fed",18666,"23350",NA,NA
