"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"67","C57BL/6J-EarTag #40",133641,"C57BL/6J","+/+",71,"Body Weight",22050,"fasted","High Fat Diet",TRUE,FALSE,22.05
"68","C57BL/6J-EarTag #41",133641,"C57BL/6J","+/+",71,"Body Weight",24040,"fasted","High Fat Diet",TRUE,FALSE,24.04
"69","C57BL/6J-EarTag #42",133641,"C57BL/6J","+/+",71,"Body Weight",24170,"fasted","High Fat Diet",TRUE,FALSE,24.17
"70","C57BL/6J-EarTag #43",133641,"C57BL/6J","+/+",71,"Body Weight",22860,"fasted","High Fat Diet",TRUE,FALSE,22.86
"71","C57BL/6J-EarTag #5",133639,"C57BL/6J","+/+",71,"Body Weight",22860,"fasted","Control Diet",FALSE,FALSE,22.86
"72","C57BL/6J-EarTag #6",133639,"C57BL/6J","+/+",71,"Body Weight",22570,"fasted","Control Diet",FALSE,FALSE,22.57
"73","C57BL/6J-EarTag #7",133639,"C57BL/6J","+/+",71,"Body Weight",25080,"fasted","Control Diet",FALSE,FALSE,25.08
"74","C57BL/6J-EarTag #9",133639,"C57BL/6J","+/+",71,"Body Weight",22750,"fasted","Control Diet",FALSE,FALSE,22.75
"75","C57BL/6J-EarTag #10",133639,"C57BL/6J","+/+",71,"Body Weight",22860,"fasted","Control Diet",FALSE,FALSE,22.86
"76","C57BL/6J-EarTag #17",133640,"C57BL/6J","+/+",71,"Body Weight",22960,"fasted","Control Diet",FALSE,FALSE,22.96
"77","C57BL/6J-EarTag #18",133640,"C57BL/6J","+/+",71,"Body Weight",23160,"fasted","Control Diet",FALSE,FALSE,23.16
"78","C57BL/6J-EarTag #19",133640,"C57BL/6J","+/+",71,"Body Weight",25700,"fasted","Control Diet",FALSE,FALSE,25.7
"79","C57BL/6J-EarTag #20",133640,"C57BL/6J","+/+",71,"Body Weight",24600,"fasted","Control Diet",FALSE,FALSE,24.6
"80","C57BL/6J-EarTag #21",133640,"C57BL/6J","+/+",71,"Body Weight",26250,"fasted","Control Diet",FALSE,FALSE,26.25
"81","C57BL/6J-EarTag #26",133642,"C57BL/6J","+/+",71,"Body Weight",25400,"fasted","Control Diet",FALSE,FALSE,25.4
"82","C57BL/6J-EarTag #27",133642,"C57BL/6J","+/+",71,"Body Weight",25730,"fasted","Control Diet",FALSE,FALSE,25.73
"83","C57BL/6J-EarTag #28",133642,"C57BL/6J","+/+",71,"Body Weight",25000,"fasted","Control Diet",FALSE,FALSE,25
"84","C57BL/6J-EarTag #29",133642,"C57BL/6J","+/+",71,"Body Weight",21630,"fasted","Control Diet",FALSE,FALSE,21.63
