Name	Size	NES	NOM p-value	FDR q-value	Gene Details
BIOCARTA_PAR1_PATHWAY	35.0	1.6580563	0.009009009	0.07988274	ARHGEF15,GNGT1,GNAI1,ARHGEF6,PRKCA,PIK3R1,PIK3CG,F2RL3,PLCB1,ARHGEF9,RHOA,ARHGEF1,ARHGEF3,PIK3CA,GNAQ
BIOCARTA_EDG1_PATHWAY	24.0	1.6460536	0.019607844	0.08501389	GNGT1,GNAI1,PRKCA,PIK3R1,PIK3CG,PLCB1,ITGB3,RHOA,MAPK3,PIK3CA,SMPD1
BIOCARTA_GLEEVEC_PATHWAY	23.0	1.6424607	0.025641026	0.08572909	PIK3R1,PIK3CG,FOS,JUN,MYC,STAT1,MAPK3,STAT5B,PIK3CA,RAF1,STAT5A
BIOCARTA_CYTOKINE_PATHWAY	15.0	1.636258	0.016778523	0.08802689	IL10,IL12A,IL16,IL6,TNF,IL2,IFNG,IL12B,IL15,IL1A
BIOCARTA_VEGF_PATHWAY	26.0	1.6326113	0.015686275	0.0885681	NOS3,KDR,FLT1,PRKCA,PIK3R1,PIK3CG,ARNT,FLT4,EIF2B3
BIOCARTA_EIF4_PATHWAY	22.0	1.621701	0.018656716	0.09626758	GHR,EIF4EBP1,IRS1,PRKCA,PIK3R1,MAPK3,PTEN,RPS6KB1,PIK3CA
BIOCARTA_BAD_PATHWAY	23.0	1.6169676	0.023166023	0.09720113	PRKAR2B,CSF2RB,PIK3R1,PIK3CG,IGF1,MAPK3,IL3RA,BCL2,PIK3CA
BIOCARTA_CXCR4_PATHWAY	23.0	1.5999198	0.003690037	0.10731431	GNGT1,CXCR4,GNAI1,PRKCA,PIK3R1,CXCL12,MAPK3,PIK3CA,GNAQ,PTK2,RAF1,NFKB1,MAPK1,PLCG1
BIOCARTA_IL4_PATHWAY	9.0	1.5953588	0.04532578	0.10875575	IL2RG,IRS1,JAK3
BIOCARTA_FREE_PATHWAY	9.0	1.5848823	0.029649595	0.11526019	XDH,TNF,GPX1,NOX1
BIOCARTA_CSK_PATHWAY	19.0	1.5629147	0.02631579	0.13150355	PRKAR2B,CD247,GNGT1,PTPRC
